person,personLabel,sitelinks
http://www.wikidata.org/entity/Q22337960,Sarah Lahti,13
http://www.wikidata.org/entity/Q23928164,Lucas Eriksson,13
http://www.wikidata.org/entity/Q20867916,Sebastian Starke Hedlund,13
http://www.wikidata.org/entity/Q23827037,Lisa Gunnarsson,13
http://www.wikidata.org/entity/Q23914706,Marko Johansson,13
http://www.wikidata.org/entity/Q26211849,Kalle Berglund,13
http://www.wikidata.org/entity/Q28444697,Little Sis Nora,13
http://www.wikidata.org/entity/Q26838060,Isabella Wranå,13
http://www.wikidata.org/entity/Q27881726,Albin Lagergren,13
http://www.wikidata.org/entity/Q28792517,Austin Hamilton,13
http://www.wikidata.org/entity/Q30346473,Jennie Wåhlin,13
http://www.wikidata.org/entity/Q51756997,Amir Al-Ammari,13
http://www.wikidata.org/entity/Q63124075,Ismael Diawara,13
http://www.wikidata.org/entity/Q60194917,Winona Oak,13
http://www.wikidata.org/entity/Q65159255,Alex Kessidis,13
http://www.wikidata.org/entity/Q85040729,Aimar Sher,13
http://www.wikidata.org/entity/Q74223837,Samuel Dahl,13
http://www.wikidata.org/entity/Q96182824,Jacob Ondrejka,13
http://www.wikidata.org/entity/Q76623256,Isak Jansson,13
http://www.wikidata.org/entity/Q87818743,Paulos Abraham,13
http://www.wikidata.org/entity/Q91772149,Jesper Wallstedt,13
http://www.wikidata.org/entity/Q81901121,Edvin Anger,13
http://www.wikidata.org/entity/Q97448204,Amin Sarr,13
http://www.wikidata.org/entity/Q98389954,Axelina Johansson,13
http://www.wikidata.org/entity/Q104307342,David Mobärg,13
http://www.wikidata.org/entity/Q107316383,Gustaf Lagerbielke,13
http://www.wikidata.org/entity/Q108134433,Noah Persson,13
http://www.wikidata.org/entity/Q123174990,Deniz Gül,13
